raceId,Year,Race,Date,Finishers,City,State,Country,Continent,Type,Include,AgeBand,Net,Adjustment
1115,2024,Edmonton Marathon,2024-08-18,1156,Edmonton,AB,,,,True,5,0,0
1102,2025,Missoula Marathon,2025-06-28,1153,Missoula,MT,,,,True,1,0,0
20,2024,Rotorua Marathon,2024-05-03,1151,Rotorua,WAI,,,,False,1,0,0
237,2024,Little Rock Marathon,2024-03-02,1147,Little Rock,AR,,,,True,1,0,0
1043,2025,REVEL White Mountains,2025-05-04,1144,Conway,NH,,,,True,1,716,300
1171,2025,Baystate Marathon,2025-10-19,1141,Lowell,MA,,,,True,1,0,0
251,2023,Richmond Runfest,2023-09-09,1136,Richmond,LON,,,,False,5,0,0
981,2025,Little Rock Marathon,2025-03-02,1133,Little Rock,AR,,,,True,1,0,0
371,2024,Marathon de Namur,2024-04-07,1125,Namur,NAM,,,,False,1,0,0
174,2023,Marathon Touraine Loire Valley,2023-09-24,1122,TOURS,IND,,,,False,1,0,0
243,2022,Charlotte's Thunder Road Marathon,2022-11-12,1120,Charlotte,NC,,,,True,1,0,0
930,2024,Tucson Marathon,2024-12-15,1107,Tucson,AZ,,,,True,1,697,300
838,2024,Baystate Marathon,2024-10-20,1105,Lowell,MA,,,,True,1,0,0
973,2025,Wilmington Marathon,2025-02-22,1104,Wilmington,NC,,,,True,1,0,0
1122,2025,Erie Marathon,2025-09-07,1103,Erie,PA,,,,True,1,0,0
199,2024,Bratislava Marathon,2024-04-06,1102,Bratislava,BRA,,,,False,1,0,0
277,2023,Ogden Marathon,2023-05-20,1101,Ogden,UT,,,,True,1,0,0
1015,2025,Newport Rhode Race,2025-04-19,1099,Newport,RI,,,,True,1,0,0
1185,2025,Newport Marathon (RI),2025-10-12,1097,Newport,RI,,,,True,1,0,0
257,2022,Des Moines Marathon,2022-10-16,1095,Des Moines,IA,,,,True,1,0,0
357,2023,Weskus Marathon,2023-03-18,1087,Langebaan,WES,,,,False,1,0,0
974,2025,Ventura Marathon,2025-02-23,1087,Ventura,CA,,,,True,1,0,0
241,2023,St. Louis Marathon,2023-04-01,1082,St Louis,MO,,,,True,1,0,0
1036,2025,Colorado Marathon,2025-05-04,1081,Fort Collins,CO,,,,True,1,0,0
763,2024,Route 66 Marathon,2024-11-24,1080,Tulsa,OK,,,,True,5,0,0
186,2023,Kentucky Derby Festival Marathon,2023-04-29,1073,Louisville,KY,,,,True,1,0,0
1082,2025,Manitoba Marathon,2025-06-15,1072,Winnipeg,MB,,,,True,1,0,0
227,2023,Air Force Marathon,2023-09-14,1070,Dayton,OH,,,,True,1,0,0
249,2023,Buffalo Marathon,2023-05-28,1068,Buffalo,NY,,,,True,5,0,0
458,2024,Colorado Marathon,2024-05-05,1064,Fort Collins,CO,,,,True,1,0,0
